[2023-01-21 15:20:51] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:56] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:01] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:06] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:11] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:16] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:21] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:26] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:31] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:37] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:42] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:47] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:52] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:21:57] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:02] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:07] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:12] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:17] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:22] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:27] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:32] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:38] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:22:43] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:28:28] [WARNING]: 监听反向WS Universal时出现错误: websocket: close 1006 (abnormal closure): unexpected EOF 
[2023-01-21 15:28:32] [WARNING]: 向反向WS Universal服务器推送 Event 时出现错误: write tcp 127.0.0.1:13921->127.0.0.1:1602: use of closed network connection 
[2023-01-21 15:28:37] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:28:42] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
